nr|nederlands|frans|engels
|blauw.|bleus.|blue.
|Ik hoop dat je me altijd zo zult aankijken, vooral als er andere mensen bij zijn. |J’espère que tu me regarderas toujours comme ça, juste comme ça. Particulièrement en public.|I hope you will always look at me just like that, especially when there are other people present.
|Mr. Worthing! Sta op, meneer, uit die half neerwaards gebogen houding.|M. Worthing! Relevez-vous.|Mr. Worthing! Rise, sir, from this semi-recumbent posture.
|Dat is hoogst onwelvoeglijk. |Cette posture à demi-allongée est tout à fait incorrecte.|It is most indecorous.
|Mama! Ik verzoek u heen te gaan. //|Maman! Je dois vous prier de vous retirer. Vous n’êtes pas à votre place.|Mamma!
|Mr. Worthing is nog bezig. |D’ailleurs M. Worthing n’a pas complètement terminé.|I must beg you to retire. This is no place for you. |Besides, Mr. Worthing has not quite finished yet.
|Waarmee, als ik vragen mag? |Terminé quoi, puis-je savoir?|Finished what, may I ask?
|Ik ben verloofd met Mr. Worthing, mama. |Je suis fiancée à M. Worthing, maman.|I am engaged to Mr. Worthing, mamma.
|Je bent niet verloofd met wie dan ook. |Pardonne-moi mais tu n’es fiancée à personne. |Pardon me, you are not engaged to any one.
|Als jij verloofd bent zal ik of je vader,|Quand vous devrez vous fiancer, moi, ou votre père|When you do become engaged to some one, I, or your father,
|als zijn gezondheid dat toelaat, je van dat feit op de hoogte stellen.|si sa santé le lui permet, te tiendront informée. |should his health permit him, will inform you of the fact.
|Een verloving moet voor een meisje als een verassing komen,|Des fiançailles qui tomberaient sur une jeune fille par surprise,|An engagement should come on a young girl as a surprise,
|aangenaam of onaangenaam, hoe het ook moge zijn. |une surprise bonne ou mauvaise.|pleasant or unpleasant, as the case may be. 
|Het is niet bepaald iets dat ze voor zichzelf zou moeten regelen.|Ce n’est pas une question qu’il t’est permis de décider toute seule.|It is hardly a matter that she could be allowed to arrange for herself...
|En nu heb ik een paar vragen aan u, Mr. Worthing.|Et maintenant, j’ai quelques questions à vous poser, M. Worthing.|And now I have a few questions to put to you, Mr. Worthing.
|Terwijl ik mijn informatie inwin wacht jij, Gwendolen, op me in het ruituig. |Va donc m’attendre dans la voiture, Gwendolen. |While I am making these inquiries, you, Gwendolen, will wait for me below in the carriage.
|Mama! |Maman!|Mamma!
|In het rijtuig, Gwendolen! |Dans la voiture, Gwendolen!|In the carriage, Gwendolen!
|||
|Gwendolen, het rijtuig! |Gwendolen, dans la voiture!|Gwendolen, the carriage!
|Ja, mama. |Oui, maman. |Yes, mamma.
|U kunt plaats nemen, Mr. Worthing. |Vous pouvez vous assoir M. Worthing.|You can take a seat, Mr. Worthing.
|Dank u, Lady Bracknell, ik blijf liever staan. |Merci, Lady Bracknell, je préfère rester debout. |Thank you, Lady Bracknell, I prefer standing.
|ik zal u waarschuwen: U komt niet voor op mijn lijst van verkiezbare jonge mannen, |Je suis obligée de vous dire que vous ne figurez pas sur ma liste des jeunes hommes possibles,|I feel bound to tell you that you are not down on my list of eligible young men,
|hoewel ik dezelfde lijst heb als de dierbare Hertogin van Bolton. |bien que j’ai la même que cette chère duchesse de Bolton. |although I have the same list as the dear Duchess of Bolton has. 
|We werken samen, zo te zeggen.|Nous travaillons ensemble, en fait.|We work together, in fact.
|Ik ben echter gaarne bereid uw naam aan de lijst toe te voegen|Cependant je suis toute prête à vous inscrire |However, I am quite ready to enter your name, 
|indien uw antwoorden stroken met wat een toegewijde moeder zich wenst.|si vos réponses sont celles qu’une mère affectionnée peut souhaiter. |should your answers be what a really affectionate mother requires. 
|Rookt u? |Fumez-vous?|Do you smoke?
|Ja, ik moet toegeven dat ik rook. |Eh bien, oui, je dois admettre que je fume.|Well, yes, I must admit I smoke.
|Ik ben blij dat te horen. Een man dient altijd iets om handen te hebben.|Je suis heureuse de l’apprendre. Un homme doit toujours avoir quelque occupation,|I am glad to hear it. A man should always have an occupation of some kind.
|We hebben in Londen al teveel leeglopers. |il y a déjà beaucoup trop de paresseux à Londres. |There are far too many idle men in London as it is.
|Hoe oud bent u? |Quel âge avez-vous?|How old are you?
|Negenentwintig. |Vingt-neuf ans.|Twenty-nine.
|Een uitstekende leeftijd om te trouwen. |Un très bon âge pour se marier.|A very good age to be married at. 
|Ik ben altijd van mening geweest dat een man die zich voorneemt te trouwen|Ensuite, j’ai toujours été d’avis qu’un homme qui désire se marier |I have always been of opinion that a man who desires to get married
|ofwel alles ofwel niets moet weten. Wat weet u? | devrait tout savoir, ou rien. Que savez-vous?|should know either everything or nothing. Which do you know?
|||
|Ik weet niets, Lady Bracknell. |Rien, Lady Bracknell.|I know nothing, Lady Bracknell.
|Zo mag ik het horen.|Je suis contente de vous l’entendre dire.|I am pleased to hear it. 
|Ik heb een hekel aan elke verstoring van de natuurlijke onwetendheid.|J’ai horreur de tout ce qui altère l’ignorance naturelle.|I do not approve of anything that tampers with natural ignorance.
|T.B.D. //|L’ignorance est comme un fruit exotique délicat, vous le touchez et le parfum disparait.|Ignorance is like a delicate exotic fruit; touch it and the bloom is gone.
|De hele modere onderwijstheorie is in weze ongezond.|Toute la théorie moderne de l’éducation est radicalement stupide.|The whole theory of modern education is radically unsound.
|Gelukkig heeft, in Engeland tenminste, het onderwijs geen enkel effect.|Fort heureusement, en Angleterre, l’éducation ne produit aucun effet d’aucune sorte|Fortunately in England, at any rate, education produces no effect whatsoever.
|Als dat wel het geval was zou het een ernstig gevaar voor de hogere klasse betekenen.|Sinon il s’ensuivrait de graves dangers pour les classes supérieures.|If it did, it would prove a serious danger to the upper classes,
|T.B.D. //|T.B.D. //|and probably lead to acts of violence in Grosvenor Square.
|Wat is uw inkomen? |Quel est votre revenu?|What is your income?
|Tussen de zeven en achtduizend per jaar. |Entre sept et huit mille livres par an.|Between seven and eight thousand a year.
|Uit grondbezit of effecten? |En terres ou en placements?|In land, or in investments?
|Uit effecten voornamelijk. |En placements, principalement.|In investments, chiefly.
|Dat klinkt positief. |Voilà qui est satisfaisant. |That is satisfactory.
|Gezien de plichten die verwacht worden van een man tijdens zijn leven,|De nos jours, T.B.D//|What between the duties expected of one during one's lifetime,
|en de lasten onttrokken na zijn dood, //lasten=belasting| T.B.D. //|and the duties exacted from one after one's death, 
|is grondbezit niet langer een onverdeeld voordeel of genoegen meer.|la terre n’est plus ni un profit, ni un plaisir. |land has ceased to be either a profit or a pleasure. 
|Het verschaft je een positie maar belet je om die op te houden.|Elle donne une position sociale, T.B.D. //|It gives one position, and prevents one from keeping it up.
|Dat is alles wat er over grondbezit gezegd kan worden. |c’est tout ce qu’on peut en dire.|That's all that can be said about land.
|Ik heb een buitengoed, met uiteraard wat land erbij uiteraard, ongeveer 1500 hectare,|J’ai une maison de campagne avec un peu de terre, naturellement, à peu près quinze cent acres, |I have a country house with some land, of course, attached to it, about fifteen hundred acres
|maar voor mijn inkomen ben ik daar niet van afhankelijk.|Mais ce n’est pas de là que vient mon revenu réel.|but I don't depend on that for my real income.
|Voor zover ik het kan bekijken worden alleen de stropers er beter van. |En fait si j’ai bien compris, il n’y a que les braconniers qui en tirent quelque chose.//|In fact, as far as I can make out, the poachers are the only people who make anything out of it.
|Een buitengoed! Hoeveel slaapkamers?|Une maison de campagne! De combien de pièces?|A country house! How many bedrooms? 
|Wel, over dat punt kunnen we het later nog hebben.|Enfin, nous verrons cela plus tard.|Well, that point can be cleared up afterwards.
|U bezit ook een huis in de stad, hoop ik?|Vous avez une maison de ville, j’espère?|You have a town house, I hope?
|Van een meisje met zo’n onbedorven natuur als Gwendolen|Une fille toute simple comme Gwendolen|A girl with a simple, unspoiled nature, like Gwendolen, 
|kunnen we toch niet verlangen dat ze buiten gaat wonen. |pourrait difficilement vivre à la campagne.|could hardly be expected to reside in the country.
|Ik bezit een huis op Belgrave Square, maar het is op jaar&shy;contract verhuurd aan lady Bloxham. |Eh bien, je possède une maison à Belgrave Square, mais elle est louée à l’année à lady Bloxham. |Well, I own a house in Belgrave Square, but it is let by the year to Lady Bloxham.
|Natuurlijk kan ik erover beschikken wanneer ik wil,met 6 maand opzeg.|Naturellement je peux la récupérer quand je veux après un préavis de six mois.|Of course, I can get it back whenever I like, at six months' notice.
|Lady Bloxham? Die ken ik niet. |Lady Bloxham? Je ne la connais pas.|Lady Bloxham? I don't know her.
|O, ze komt bijna nergens meer.|Oh, elle sort très peu.|Oh, she goes about very little.
|Het is een dame op zeer ver gevorderde leeftijd. |C’est une dame très âgée.|She is a lady considerably advanced in years.
|Dat is tegenwoordig geen garantie meer voor een fatsoenlijk karakter.|De nos jours ce n’est pas une garantie de respectabilité.|Ah, nowadays that is no guarantee of respectability of character.
|Welk nummer op Belgrave Square? |A quel numéro de Belgrave Square?|What number in Belgrave Square?
|149. |Au cent quarante neuf.|149.
|Niet aan de deftige kant. Ik dacht al dat er iets mis was.|Le côté qui n’est pas à la mode. Je sentais bien qu’il y avait un hic.|The unfashionable side. I thought there was something. 
|Maar daar kunnen we wel wat aan doen. |Cependant ça peut facilement se changer.|However, that could easily be altered.
|Aan de deftigheid, bedoelt u, of aan de kant? |Voulez-vous dire la mode, ou le côté?|Do you mean the fashion, or the side?
|Aan beide, als dat nodig is.|Les deux, s’il le faut. |Both, if necessary, I presume. 
|Wat zijn uw politieke opvattingen? |Quelles sont vos opinions politiques?|What are your polities?
|Eigenlijk geen enkele, vrees ik. Ik ben een Liberal Unionist. |J’ai bien peur de n’en avoir aucune. Je suis un Libéral Unioniste.|Well, I am afraid I really have none. I am a Liberal Unionist.
|Oh, die tellen als Tories. Zij dineren met ons. |Oh, on les compte avec les Tories. Ils dînent avec nous. |Oh, they count as Tories. They dine with us. 
|Of ze komen s’avonds, in ieder geval. |Ou, du moins, sont invités aux réceptions.|Or come in the evening, at any rate.
|Nu naar mindere dingen. Leven uw ouders nog? |Passons aux choses moins importantes. Vos parents sont-ils vivants?|Now to minor matters. Are your parents living?
|Ik heb allebei mijn ouders verloren. |J’ai perdu mes deux parents.|I have lost both my parents.
|Allebei? Het verlies van een ouder kan nog als tegenslag worden beschouwd.|Perdre un parent, M. Worthing, peut être considéré comme un malheur.|To lose one parent, Mr. Worthing, may be regarded as a misfortune;
|Maar om ze allebei te verliezen, dat heeft meer weg van slordigheid.|Mais perdre les deux ressemble à de la négligence.|to lose both looks like carelessness.
|Wat was uw vader voor iemand?|Qui était votre père?|Who was your father? 
|Hij was duidelijk een man met enige rijkdom.|C’était visiblement un homme fortuné. |He was evidently a man of some wealth.
|Werd hij geboren in wat de radicale kranten noemen het Paarse van de handel,|Etait-il issu du commerce|Was he born in what the Radical papers call the purple of commerce,
|of stamde hij af van de rangen van de aristocratie?| ou de l’aristocratie?|or did he rise from the ranks of the aristocracy?
|Ik vrees dat ik daar geen antwoord op kan geven. |Je ne sais pas vraiment, je le crains.|I am afraid I really don't know.
|Ik zei, Lady Bracknell, dat ik mijn ouders had verloren.| Le fait est, Lady Bracknell, que j’ai dit avoir perdu mes parents.|The fact is, Lady Bracknell, I said I had lost my parents. 
|Het zou dichter bij de waarheid zijn wanneer ik zei dat mijn ouders|Il serait plus juste de dire que ce sont eux|It would be nearer the truth to say that my parents
|eerder mij verloren hebben.|qui m’ont perdu.|seem to have lost me...
|Ik weet niet wat ik van geboorte ben. Ik werd... |Je ne sais vraiment pas de qui je suis né. Je suis, eh bien, |I don't actually know who I am by birth. I was... 
|wel, ik werd gevonden. |je suis un enfant trouvé.|well, I was found.
|Gevonden!|Trouvé!|Found!
|Wijlen Mr. Thomas Cardew, een oude heer, zeer edelmoedig van aard,|Feu M. Thomas Cardew, un vieux gentilhomme très charitable,|The late Mr. Thomas Cardew, an old gentleman of a very charitable and kindly disposition,
|heeft me gevonden en me de naam Worthing gegeven, |m’a trouvé et donné le nom de Worthing|found me, and gave me the name of Worthing,
|omdat hij toevallig een eersteklaskaartje naar dat oord in zijn zak had.|parce qu’il avait un billet de première classe dans sa poche pour Worthing.|because he happened to have a first-class ticket for Worthing in his pocket at the time.
|Worthing ligt in Sussex. Een soort badplaats. |C’est une plage dans le Sussex.|Worthing is a place in Sussex. It is a seaside resort.
|En waar vond deze edelmoedige heer die een eerste&shy;klas&shy;kaartje voor een badplaats bezat u? |Et où le charitable gentilhomme vous a-t-il trouvé?|Where did the charitable gentleman who had a first-class ticket for this seaside resort find you?
|In een handtas. |Dans un cabas.|In a hand-bag.
|Een handtas? |Un cabas?|A hand-bag?
|Ja, Lady Bracknell. Een handtas.|Oui, Lady Bracknell. J’étais dans un cabas|Yes, Lady Bracknell. I was in a hand-bag
|Een tamelijk grote, bruin leren handtas, met hengsels eraan-|un grand cabas de cuir brun, avec des poignées. |A somewhat large, black leather hand-bag, with handles to it --
|kortom, een doodgewone handtas. |Un cabas très ordinaire en fait.|an ordinary hand-bag in fact.
|Wat was de geografische ligging van de plaats waar deze Mr. Cardew|Et en quel lieu M. James, ou Thomas, Cardew |In what locality did this Mr. James, or Thomas Cardew
|plotseling oog in oog stond met zo’n doodgewone handtas? |rencontra-t-il ce cabas très ordinaire?|come across this ordinary hand-bag?
|In het bagagedepot van Victoria Station. |A la consigne de la gare de Victoria. |In the cloak-room at Victoria Station.
|Het is hem gegeven in de plaats van zijn eigen tas.|On le lui a donné par erreur à la place du sien.|It was given to him in mistake for his own.
|Het bagagedepot van het Victoria Station?|La consigne de la gare de Victoria?|The cloak-room at Victoria Station?
|Jawel. Op het perron voor Brighton.|Oui. Ligne de Brighton.|Yes. The Brighton line.
|Het perron doet er niet toe, Mr Worthing. |La ligne n’est pas la question.|The line is immaterial. 
|Ik moet u bekennen dat het me nogal heeft aan&shy;gegrepen wat u zojuist vertelde. |M. Worthing, je dois dire que je me sens plutôt perplexe.|Mr. Worthing, I confess I feel somewhat bewildered by what you have just told me.
|Om geboren, of in elk geval groot&shy;gebracht te worden in een handtas,|Être né, ou engendré, dans un cabas,|To be born, or at any rate bred, in a hand-bag, 
|of die nu hengsels heeft of niet, komt me voor als een zodanige blijk van minachting|qu’il ait des poignées ou non, me semble relever|whether it had handles or not, seems to me to display a contempt
|voor de normale welvoeglijkheid van het gezinsleven|d’un total mépris des traditions familiales.|for the ordinary decencies of family life that
|dat het herinneringen oproept aan de ergste excessen van de Franse Revolutie.|Cela rappelle les pires excès de la Révolution Française |reminds one of the worst excesses of the French Revolution.
|U weet, neem ik aan, waartoe die ongelukkige beweging heeft geleid.|et je pense que vous savez à quoi ce malheureux événement nous a conduits.|And I presume you know what that unfortunate movement led to?
|Wat de exacte geografische ligging van de handtas betreft |Quant au lieu précis où le cabas fut trouvé,|As for the particular locality in which the hand-bag was found, 
| – een bagagedepot op een spoorweg&shy;station mag dan nuttig zijn|la consigne d’une gare a pu servir|a cloak room at a railway station might serve
| om er een maatschappelijke onvoorzichtigheid te deponeren –|à dissimuler quelque secret de famille,|to conceal a social indiscretion --
| en zal ook vaak voor dat doel zijn gebruikt – |T.B.D //|has probably, indeed, been used for that purpose before now --
|maar kan nauwelijks gelden als een gezonde basis|mais cela peut difficilement être regardé comme une base crédible|but it could hardly be regarded as an assured basis 
| voor een positie in de hogere kringen.|pour obtenir une position dans la bonne société.|for a recognised position in good society.
|Wat zou u me aanraden te doen?|Puis-je vous demander ce que vous me conseillez de faire?|May I ask you then what you would advise me to do?
|Ik hoef nauwelijks te benadrukken dat ik alles in het werk wil stellen |J’ai à peine besoin de dire que je ferais n’importe quoi |I need hardly say I would do anything in the world
|om Gwendolen geluk te verzekeren.|pour assurer le bonheur de Gwendolen.|to ensure Gwendolen's happiness.
|Ik zou u tensterkste aanraden, Mr Worthing, om zo snel mogelijk|M. Worthing, je vous conseille vivement d’essayer|I would strongly advise you, Mr. Worthing, to try and acquire
|voor familie te zorgen|de trouver des parents aussi tôt que possible,|some relations as soon as possible, 
|en met minstens een van uw ouders op de proppen te komen,|de faire un effort pour montrer au moins un parent,|and to make a definite effort to produce at any rate one parent,
|van welk geslacht dan ook, voor het seizoen voorbij is.|quelque soit son sexe, avant la fin de la saison.|of either sex, before the season is quite over.
|Ik zie niet in hoe ik dat voor elkaar krijg. |Eh bien, je ne vois pas comment je pourrais arranger ça.|Well, I don't see how I could possibly manage to do that.
|Ik kan elk moment de handtas voorleggen. |Mais je peux montrer le cabas quand on voudra.|I can produce the hand-bag at any moment.
|Ik heb hem thuis, in mijn kleedkamer. |Il est chez moi dans ma garde-robe.|It is in my dressing room at home.
|Ik vind dat u daarmee tevreden moet zijn, Lady Bracknell.|Il me semble vraiment que ça pourrait vous satisfaire, Lady Bracknell.|I really think that should satisfy you, Lady Bracknell.
|Ik, meneer? Wat moet ik daarmee?|Moi, monsieur! Me satisfaire?|Me, sir! What has it to do with me? 
|U denkt toch niet dat ik en Lord Bracknell er ooit over zouden dromen|Vous n’imaginez tout de même pas que moi et Lord Bracknell permettrions|You can hardly imagine that I and Lord Bracknell would dream
|onze enige dochter – een meisje dat met de grootste zorgvuldigheid is opgevoed -|à notre fille unique, une jeune personne élevée avec le plus grand soin,|of allowing our only daughter -- a girl brought up with the utmost care --
|bij een bagagedepot te laten introuwen |de se marier dans une consigne|to marry into a cloak-room, 
|en een verbintenis te laten aangaan met een postpakket!|et de s’allier avec un colis.|and form an alliance with a parcel? 
|Goedendag, Mr. Worthing!|Adieu, M. Worthing!|Good morning, Mr. Worthing!
|Goedendag!|Adieu, Lady Bracknell.|Good morning!
|Hou in godsnaam op met dat akelige deuntje, Algy!|Algy, espèce d’idiot, arrête de jouer cette satanée musique. |For goodness' sake don't play that ghastly tune, Algy.
|Ging er iets mis, ouwe jongen?|Alors mon vieux, ça n’a pas marché?|Didn't it go off all right, old boy?
|Heeft Gwendolen nee gezegd?|Ne me dis pas que Gwendolen a refusé.|You don't mean to say Gwendolen refused you?
|Ze zegt altijd nee tegen mensen. Ik weet dat ze dat soms doet.|Je sais qu’elle est comme ça, toujours à refuser les gens.| I know it is a way she has. She is always refusing people.
|Het is zeer gemeen van haar.|C’est maladif.|I think it is most ill-natured of her.
|Met Gwendolen is er geen wolkje aan de lucht.|Oh, ce n’est pas Gwendolen le problème.|Oh, Gwendolen is as right as a trivet.
|Wat haar betreft zijn we reeds verloofd.|En ce qui la concerne nous sommes fiancés.|As far as she is concerned, we are engaged.
|Maar haar moeder is onuitstaanbaar.|Mais sa mère est parfaitement insupportable.|Her mother is perfectly unbearable. 
|Nooit zo’n Gorgoon ontmoet ...|Jamais rencontré une pareille… Gorgone.|Never met such a Gorgon...
|Ik weet niet hoe een Gorgoon er uitziet,|Je ne sais pas vraiment à quoi ressemble une Gorgone|I don't really know what a Gorgon is like,
|maar Lady Bracknell is er een.|mais je suis sûr que Lady Bracknell en est une. |but I am quite sure that Lady Bracknell is one.
|Een monster dat buiten de mythologie is getreden, wat ik nogal oneerlijk vind.|En tous cas, c’est un monstre sans être un mythe ce qui est déloyal…|In any case, she is a monster, without being a myth, which is rather unfair.
|Sorry, Algy, ik zou niet zo over je tante mogen spreken|Pardonne-moi, Algy, je suppose que je ne devrais pas parler|I beg your pardon, Algy, I suppose I shouldn't talk about your own aunt 
|in jouw aanwezigheid.|comme ça de ta tante devant toi.|in that way before you.
|Ik vind het verrukkelijk als ik mijn familie hoor beledigen.|Mon petit vieux, j’adore entendre dire du mal de la famille.|My dear boy, I love hearing my relations abused.
|Het is het enige dat er voor zorgt dat ik ze nog kan uitstaan.|C’est la seule chose qui me permet de la supporter.|It is the only thing that makes me put up with them at all.
|Familie, dat is enkel een vervelend allegaartje |La famille c’est tout simplement un ennuyeux amas de gens|Relations are simply a tedious pack of people,
|dat niet het minste idee heeft over hoe te leven en wanneer te sterven.|qui ne savent pas le moins du monde comment vivre… ni quand mourir.|who haven't got the remotest knowledge of how to live, nor the smallest instinct about when to die.
|Dat is onzin!|C’est absurde.|Oh, that is nonsense! 
|Dat is het niet!|Mais non!|It isn't!
|Ik wil daar nu niet over redetwisten. |Eh bien, je ne veux pas discuter de ça.|Well, I won't argue about the matter. 
|Jij wilt altijd over alles redetwisten.|Tu veux toujours discuter, discuter sur des trucs.|You always want to argue about things.
|Dat is ook precies waarvoor het allemaal geschapen is.|Les trucs sont justement faits pour ça.|That is exactly what things were originally made for.
|Als ik dat geloofde, zou ik me voor mijn kop schieten.|Ma parole, si je pensais à ça, je me tirerais une balle dans la tête… |Upon my word, if I thought that, I'd shoot myself...
|||
|Denk je, Algy, dat Gwendolen op haar moeder zal beginnen lijken, |Dis Algy, tu ne crois pas que Gwendolen pourrait |You don't think there is any chance of Gwendolen becoming like her mother
|binnen pakweg honderdvijftig jaar|devenir comme sa mère dans un centaine d'années?|in about a hundred and fifty years, do you, Algy?


|Alle vrouwen gaan op hun moeder lijken. Dat is hun tragedie. |Toutes les femmes deviennent comme leur mère. C’est leur tragédie. Et aucun homme. C’est la leur.All women become like their mothers. That is their tragedy.
|Mannen nooit. Dat is de hunne.|Et tu te crois intelligent?No man does. That's his. Is that clever?
|Is dat geestig?|En tout cas, c’est bien trouvé! Et aussi vrai que n’importe quelle remarque sur notre belle civilisation.JACK
|Het is voortreffelijk verwoord! En even waar als elke observatie in de beschaafde wereld kan zijn.|Je suis fatigué à mourir, de l’intelligence. Tout le monde est intelligent aujourd’hui. Tu ne peux aller nulle part sans rencontrer des gens intelligents. C’est devenu une calamité publique. Pourvu qu’il nous reste quelques idiots!ALGERNON
Jack: Ik word doodziek van al die geestigheid. Iedereen is tegenwoordig geestig. Het is absoluut epidemisch geworden. Een publieke plaag. Ik wou echt dat we nog een paar dwazen over hadden.|Il en reste.It is perfectly phrased! and quite as true as any observation
Algernon: Die hebben we ook.|J’aimerais beaucoup en rencontrer. De quoi parlent-ils?in civilised life should be.
Jack: Ik zou die heel graag ontmoeten. Waar spreken die over?|Les idiots? Des gens intelligents, naturellement. 45JACK
Algernon: De dwazen? Oh! Over de geestige mensen, natuurlijk.|Quels idiots!I am sick to death of cleverness. Everybody is clever
Jack: Wat een dwazen!|Au fait, as-tu dit la vérité à Gwendolen? Que tu étais Constant en ville et Jack à la campagne?nowadays. You can't go anywhere without meeting clever people. The thing has become an absolute public nuisance. I wish to goodness we had a few fools left.
Algernon: Heb jij Gwendolen overigens naar waarheid verteld dat je Ernst bent in London en buiten Jack?|(d’un ton protecteur) : Mon vieux, la vérité n’est pas du tout la chose à dire à une jeune femme jolie et raffinée. Quelles drôles d’idées tu as sur la manière de se conduire avec les femmes!We have.
Jack: Beste kerel, de waarheid is niet bepaald iets wat je een aardig en welopgevoed meisje vertelt. Jij hebt zonderlinge ideeën hoe je je tegenover een vrouw behoort te gedragen.|La seule façon de se conduire avec une femme est de lui faire l’amour, si elle est jolie, et de le faire à une autre si elle est laide.ALGERNON
Algernon: De enige manier om je tegen een vrouw te gedragen is met haar naar bed te gaan als ze mooi is, en met iemand anders als ze lelijk is.|Encore une absurdité!JACK
Jack: O, dat is onzin.|Et que devient ton frère? Que devient Constant le débauché?I should extremely like to meet them. What do they talk
Algernon: En wat met je broer? Wat zal er gebeuren met je losbandige broer?|Oh, d’ici la fin de la semaine j’en aurai fini avec lui. Je vais dire qu’il est mort à Paris, d’une apoplexie. Des tas de gens meurent d’une apoplexie, comme ça, tout à coup, non?What fools!
Jack:  Voor het eind van de week zal ik me van hem hebben ontdaan. Ik zal zeggen dat hij is gestorven van een beroerte. Er sterven toch massa’s mensen plotseling aan een beroerte?|Oui, mais c’est héréditaire, mon vieux. Que va penser Gwendolen? Tu ferais mieux de dire un terrible coup de froid.By the way, did you tell Gwendolen the truth about your being Ernest in town, and Jack in the country?
Algernon: Ja, maar het is erfelijk, mijn beste kerel. Het is een van die dingen die in de familie zit. Zeg een zware verkoudheid. Dat klinkt beter.|Tu es sûr qu’un terrible coup de froid n’est pas héréditaire ou quelque chose comme ça?JACK
Jack: Je weet zeker dat zware verkoudheden niet erfelijk zijn?|Sûr!(in a very patronising manner)
Algernon: Natuurlijk niet!|Très bien. Alors mon pauvre frère Constant a été emporté soudainement, à Paris, par un terrible coup de froid. Ça me débarrasse de lui.My dear fellow, the truth isn't quite the sort of thing one tells to a nice, sweet, refined girl. What extraordinary ideas you have about the way to behave to a woman!
Jack: Goed dan. Dat is geregeld. Mijn arme broer Ernst wordt plots afgevoerd, in Parijs, door een zware verkoudheid. Zo krijg ik hem wel weg.|Mais je croyais que tu avais dit que… Miss Cardew s’intéressait un peu trop à ton 14 pauvre frère Constant? Ne va-t-elle pas ressentir durement sa perte?ALGERNON
Algernon: Maar je zei dat ... Miss Cardew wat al te geïnteresseerd was in je arme broer Ernst. Zal zijn verlies haar niet erg aangrijpen?|Pas de problème. Cecily n’est pas une de ces pimbêches romantiques, je suis heureux de le dire. Elle a un excellent appétit, fait de longues promenades et ne s’intéresse pas du tout à ses études.The only way to behave to a woman is to make love to her, if
Jack: Oh, dat valt wel mee. Cecily is geen onnozel, romantisch kind, gelukkig. Ze bezit een reusachtige eetlust, wandelt veel en let onder haar lessen nooit op.|J’aimerais bien voir Cecily.she is pretty, and to some one else, if she is plain.
Algernon: Ik zou die Cecily best eens willen zien.|Je veillerai à ce que ça ne se produise pas. Elle est extrêmement jolie et a tout juste dixhuit ans.about?
Jack: Ik zal er nauwgezet acht op slaan dat zoiets nooit gebeurt. Ze is toevallig erg mooi, en ze is pas achttien.|As-tu dit à Gwendolen que tu avais une pupille extrêmement jolie qui a tout juste dix-huit ans?The fools? Oh! about the clever people, of course.
Algernon: Heb je Gwendolen al wel verteld dat je een erg mooie pupil hebt die pas achttien is?|On n’envoie pas ça comme ça à la figure des gens. Je suis parfaitement certain que Cecily et Gwendolen vont devenir de grandes amies. Je parierais n’importe quoi qu’au bout d’une demi-heure elles vont s’appeler « ma chérie ».Oh, that is nonsense.
Jack: Een mens flapt er toch niet meteen alles uit. Cecily en Gwendolen zullen zeker geweldig goede vriendinnen worden. Ik verwed er alles om dat ze mekaar nog zussen noemen binnen een half uur dat ze mekaar ontmoet hebben.|Les femmes ne font ça qu’après s’être appelées d’un tas d’autres noms. Maintenant, mon vieux, si nous voulons avoir une bonne table au Willis’s, il faut aller s’habiller. Tu as vu? Il est presque sept heures.JACK
Algernon: Vrouwen doen zoiets alleen nadat ze mekaar eerst een heleboel andere zaken hebben genoemd. Welaan, beste jongen, als we bij Willis nog een goeie tafel willen krijgen, moeten we ons hoognodig gaan kleden. Het is al bij zevenen.| (irrité) : Oh! Il est toujours presque sept heures avec toi.THE IMPORTANCE OF BEING EARNEST I-23
Jack: Het is altijd bijna zeven.|Eh oui, j’ai faim.￼ALGERNON JACK ALGERNON
Algernon: Ik heb honger.|Tu as toujours faim.ALGERNON
Jack: Ik heb je nooit meegemaakt zonder honger.|Que ferons-nous après dîner? Aller au théâtre?What about your brother? What about the profligate Ernest?
Algernon: Wat zullen we na het eten doen? Naar de schouwburg?|Je déteste écouter. 45JACK
Jack: O nee! Ik heb een afkeer aan luisteren.|Eh bien, allons au Club?Oh, before the end of the week I shall have got rid of him.
Algernon: Naar de club dan maar?|J’ai horreur de parler.I'll say he died in Paris of apoplexy. Lots of people die of apoplexy, quite suddenly, don't they?
Jack: O nee! Ik haat praten.|Bon, nous pourrions faire un saut jusqu’à l’Empire à dix heures.Yes, but it's hereditary, my dear fellow. It's a sort of
Algernon: Wat stel je dan voor?|Oh non! Je ne supporte pas de regarder des femmes se tortiller, c’est stupide.thing that runs in families. You had much better say a severe chill.
Jack: Niets.|Alors, qu’est-ce qu’on va faire?You are sure a severe chill isn't hereditary, or anything of that kind?
Algernon: Niets doen is verschrikkelijk zwaar werk. Nu vind ik zwaar werk niet erg, als het maar geen bepaald doel heeft ...|Rien!Of course it isn't!
Lane: Miss Fairfax.|C’est un dur travail que de ne rien faire. Mais un dur travail ne me gêne pas du moment que ça n’engage à rien de précis. (Lane entre) Scène 7 – Jack, Algernon, GwendolenVery well, then. My poor brother Ernest to carried off
